Code	Type	Pr	Num	Suf	Firm	Rasp	R1	R2	Rez	Mar	St	PS	Prim	DateMake	code_status	Izm	Reason
2001	bks		2	а	"ООО ""Пассажиравтотранс"""	расп	Пикалёво, автостанция	Новая Деревня-2	-	Спрямлённое шоссе - Вокзальная ул. - Советская ул. - Ленинградское шоссе		Ikarus-263		27.06.2016	2	-	-
2002	bks		2		"ООО ""Пассажиравтотранс"""	расп	Пикалёво, автостанция	Новая Деревня-2	-	Спрямлённое шоссе - ул.Металлургов - Советская ул. - Ленинградское шоссе		Ikarus-263		27.06.2016	2	-	-
2003	bks		2		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск, Нагорная ул.	"ОАО ""Русал-Бокситогорск"""	-	Заводская ул. - ул.Воронина - ул.Павлова - ул.Красных Следопытов - Социалистическая ул. - Южное шоссе.		-		27.06.2016	2	-	-
2006	bks		4		"ООО ""Пассажиравтотранс"""	расп	Пикалёво, автостанция	ст. Пикалёво-1	-	Спрямлённое шоссе - ул.Металлургов - Советская ул. - Ленинградское шоссе - ст.Пикалёво-1		ПАЗ-3204-02		27.06.2016	2	-	-
2007	bks		5	/7	"ООО ""Пассажиравтотранс"""	расп	Бокситогорск, автостанция	Бор	-	ул.Воронина - Дымское шоссе - (заезд: Ларьян) - Бор		-		27.06.2016	2	-	-
2008	bks		5		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск, автостанция	Бор	-	ул.Воронина - Дымское шоссе - Бор		-		27.06.2016	2	-	-
2013	bks		7	/5	"ООО ""Пассажиравтотранс"""	расп	Бокситогорск, автостанция	Ларьян	-	ул.Воронина - Дымское шоссе - (заезд: Бор) - Ларьян		-		27.06.2016	2	-	-
2015	bks		7		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск, автостанция	Ларьян	-	ул.Воронина - Дымское шоссе - Ларьян		ПАЗ-32053		27.06.2016	2	-	-
2016	bks		8		"ООО ""Пассажиравтотранс"""	расп	Пикалёво, автостанция	"Садоводство ""Металлург-2"""	-	Спрямлённое шоссе - Советская ул. - Поселковая ул.		-		27.06.2016	2	-	-
2017	bks		11		"ООО ""Пассажиравтотранс"""	расп	Пикалёво, автостанция	Огородничество	-	Спрямлённое шоссе - Советская ул. - Поселковая ул.		-		27.06.2016	2	-	-
2018	bks		13		"ООО ""Пассажиравтотранс"""	расп	Пикалёво, МЖК	Огородничество	-	ул.Горняков - Спрямлённое шоссе - Советская ул. - Поселковая ул		ПАЗ-3204-12		27.06.2016	2	-	-
2020	bks		101		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Михеево	-	Пикалёво - Новли - Самойлово - Михеево		ПАЗ-3204-12		27.06.2016	2	-	-
2021	bks		102		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	ст. Чудцы	-	Пикалёво - Новли - Самойлово - Михеево - Чудцы		-		27.06.2016	2	-	-
2023	bks		106		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Струги	-	Пикалёво - Фалилеево - Пронино - Анисимово - Б.Двор - Ёлзово - Фомкино - Бочатино - Калинецкое - Струги		-		27.06.2016	2	-	-
2027	bks		110		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Забелино	-	Пикалёво - Новли - Самойлово - Михеево - Чудцы - Косые Харчевни - Заголодно - Красная Речка - Спирово - Журавлёво - Заполье - Бережок - Шульгино - Озерёво - Городок - Климово - Логиново - Курята - Бирючово - Коргорка - Забелино		-		27.06.2016	2	-	-
2028	bks		112		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Яковлево	-	Пикалёво - Новли - Самойлово - Захожи - Верховье - Пакшеево - Сычово - Окулово - Подборовье - Дерева - Яковлево		-		27.06.2016	2	-	-
2031	bks		115		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Тихвин	-	Пикалёво - Новая Деревня - Синёнка - Пав.Концы - Мих.Концы - Б.Двор - Горелуха - Галично - Астрачи - Тихвин		-		27.06.2016	2	-	-
2032	bks		116		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Тихвин	-	Пикалёво - Новая Деревня - Дыми - Астрачи - Тихвин		ЛиАЗ-5256		27.06.2016	2	-	-
2036	bks		141		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	Тихвин	-	Бокситогорск - Ларьян - Дыми - Галично - Астрачи - Тихвин		-		27.06.2016	2	-	-
2037	bks		190		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	Мозолёво	-	Бокситогорск - Бор - Носово - Колбеки - Золотово - Пареево - Мозолёво - Пустая Глина - Савино		-		27.06.2016	2	-	-
2038	bks		191	а	"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	ст. Большой Двор	-	Бокситогорск - Ларьян - Дыми - Галично - Турково - Горелуха - Б.Двор - Мих.Концы - Пав.Концы - ст.Б.Двор		-		27.06.2016	2	-	-
2039	bks		193		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	Савино	-	Бокситогорск - Бор - Носово - Колбеки - Золотово - Пареево - Мозолёво		-		27.06.2016	2	-	-
2040	bks		194	а	"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	ст. Ефимовская	-	Бокситогорск - Сёгла - Нижница - Сенно - Симоново - Батьково - Новая Деревня - Пикалёво - Совхозный - Чудцы - Заголодно - Ефимовский		ПАЗ-3204-12		27.06.2016	2	-	-
